context_id,product_id,representation,protocol,candidate_quantity,training_percentile,raw_probability,sigmoid_probability,isotonic_probability,valid_support
25535,100483XUZ09C,Q2,B,5000.0,75,0.12628733129843225,0.1068839751075484,0.12044817927170871,True
25535,100483XUZ09C,Q2,B,38724.400000000074,90,0.12628733129843225,0.1068839751075484,0.12044817927170871,True
18539,100483XUZ09C,Q2,B,43.1,10,0.1349479976289358,0.1117072367835267,0.12044817927170871,True
18539,100483XUZ09C,Q2,B,100.0,25,0.1349479976289358,0.1117072367835267,0.12044817927170871,True
18539,100483XUZ09C,Q2,B,448.5,50,0.1349479976289358,0.1117072367835267,0.12044817927170871,True
18539,100483XUZ09C,Q2,B,5000.0,75,0.14641214431452387,0.11838360123323541,0.15868794326241134,True
18539,100483XUZ09C,Q2,B,38724.400000000074,90,0.14641214431452387,0.11838360123323541,0.15868794326241134,True
30535,100483XUZ09C,Q2,B,43.1,10,0.10107002788629961,0.09387140083212453,0.07272727272727272,True
30535,100483XUZ09C,Q2,B,100.0,25,0.10107002788629961,0.09387140083212453,0.07272727272727272,True
30535,100483XUZ09C,Q2,B,448.5,50,0.10107002788629961,0.09387140083212453,0.07272727272727272,True
30535,100483XUZ09C,Q2,B,5000.0,75,0.10799596477001291,0.0972967617296525,0.11627906976744186,True
30535,100483XUZ09C,Q2,B,38724.400000000074,90,0.10799596477001291,0.0972967617296525,0.11627906976744186,True
30554,100483XUZ09C,Q2,B,43.1,10,0.10107002788629961,0.09387140083212453,0.07272727272727272,True
30554,100483XUZ09C,Q2,B,100.0,25,0.10107002788629961,0.09387140083212453,0.07272727272727272,True
30554,100483XUZ09C,Q2,B,448.5,50,0.10107002788629961,0.09387140083212453,0.07272727272727272,True
30554,100483XUZ09C,Q2,B,5000.0,75,0.10799596477001291,0.0972967617296525,0.11627906976744186,True
30554,100483XUZ09C,Q2,B,38724.400000000074,90,0.10799596477001291,0.0972967617296525,0.11627906976744186,True
14710,100483XUZ09C,Q2,B,43.1,10,0.0839992586660118,0.08588656369117358,0.06351351351351352,True
14710,100483XUZ09C,Q2,B,100.0,25,0.0839992586660118,0.08588656369117358,0.06351351351351352,True
14710,100483XUZ09C,Q2,B,448.5,50,0.0839992586660118,0.08588656369117358,0.06351351351351352,True
14710,100483XUZ09C,Q2,B,5000.0,75,0.0928036257750682,0.08992489017323159,0.06351351351351352,True
14710,100483XUZ09C,Q2,B,38724.400000000074,90,0.0928036257750682,0.08992489017323159,0.06351351351351352,True
18268,100483XUZ09C,Q2,B,43.1,10,0.10564635521331306,0.09612239457419691,0.09055118110236221,True
18268,100483XUZ09C,Q2,B,100.0,25,0.10564635521331306,0.09612239457419691,0.09055118110236221,True
18268,100483XUZ09C,Q2,B,448.5,50,0.10564635521331306,0.09612239457419691,0.09055118110236221,True
18268,100483XUZ09C,Q2,B,5000.0,75,0.1288956660700579,0.10831697859406358,0.12044817927170871,True
18268,100483XUZ09C,Q2,B,38724.400000000074,90,0.1288956660700579,0.10831697859406358,0.12044817927170871,True
16243,100483XUZ09C,Q2,B,43.1,10,0.09931055633601121,0.09301860341354484,0.07272727272727272,True
16243,100483XUZ09C,Q2,B,100.0,25,0.09931055633601121,0.09301860341354484,0.07272727272727272,True
16243,100483XUZ09C,Q2,B,448.5,50,0.09931055633601121,0.09301860341354484,0.07272727272727272,True
16243,100483XUZ09C,Q2,B,5000.0,75,0.12270324420338323,0.10494213690625999,0.12044817927170871,True
16243,100483XUZ09C,Q2,B,38724.400000000074,90,0.12270324420338323,0.10494213690625999,0.12044817927170871,True
28370,100483XUZ09C,Q2,B,43.1,10,0.14072733558171296,0.11503079943354143,0.125,True
28370,100483XUZ09C,Q2,B,100.0,25,0.14072733558171296,0.11503079943354143,0.125,True
28370,100483XUZ09C,Q2,B,448.5,50,0.14072733558171296,0.11503079943354143,0.125,True
28370,100483XUZ09C,Q2,B,5000.0,75,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
28370,100483XUZ09C,Q2,B,38724.400000000074,90,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
18267,100483XUZ09C,Q2,B,43.1,10,0.09155693772045431,0.08934283955688518,0.06351351351351352,True
18267,100483XUZ09C,Q2,B,100.0,25,0.09155693772045431,0.08934283955688518,0.06351351351351352,True
18267,100483XUZ09C,Q2,B,448.5,50,0.09155693772045431,0.08934283955688518,0.06351351351351352,True
18267,100483XUZ09C,Q2,B,5000.0,75,0.11209424590797681,0.09937579594353727,0.12044817927170871,True
18267,100483XUZ09C,Q2,B,38724.400000000074,90,0.11209424590797681,0.09937579594353727,0.12044817927170871,True
25243,100483XUZ09C,Q2,B,43.1,10,0.08424576832448716,0.08599736095913509,0.06351351351351352,True
25243,100483XUZ09C,Q2,B,100.0,25,0.08424576832448716,0.08599736095913509,0.06351351351351352,True
25243,100483XUZ09C,Q2,B,448.5,50,0.08424576832448716,0.08599736095913509,0.06351351351351352,True
25243,100483XUZ09C,Q2,B,5000.0,75,0.09271997911501663,0.08988573071699574,0.06351351351351352,True
25243,100483XUZ09C,Q2,B,38724.400000000074,90,0.09271997911501663,0.08988573071699574,0.06351351351351352,True
14358,100483XUZ09C,Q2,B,43.1,10,0.0935928114646965,0.09029510742335412,0.06351351351351352,True
14358,100483XUZ09C,Q2,B,100.0,25,0.0935928114646965,0.09029510742335412,0.06351351351351352,True
14358,100483XUZ09C,Q2,B,448.5,50,0.0935928114646965,0.09029510742335412,0.06351351351351352,True
14358,100483XUZ09C,Q2,B,5000.0,75,0.11034806064079197,0.09848517635720452,0.11627906976744186,True
14358,100483XUZ09C,Q2,B,38724.400000000074,90,0.11034806064079197,0.09848517635720452,0.11627906976744186,True
30091,100483XUZ09C,Q2,B,43.1,10,0.10160331443211201,0.09413126001321459,0.07272727272727272,True
30091,100483XUZ09C,Q2,B,100.0,25,0.10160331443211201,0.09413126001321459,0.07272727272727272,True
30091,100483XUZ09C,Q2,B,448.5,50,0.10160331443211201,0.09413126001321459,0.07272727272727272,True
30091,100483XUZ09C,Q2,B,5000.0,75,0.10856138204509488,0.0975812696542624,0.11627906976744186,True
30091,100483XUZ09C,Q2,B,38724.400000000074,90,0.10856138204509488,0.0975812696542624,0.11627906976744186,True
18272,100483XUZ09C,Q2,B,43.1,10,0.10564635521331306,0.09612239457419691,0.09055118110236221,True
18272,100483XUZ09C,Q2,B,100.0,25,0.10564635521331306,0.09612239457419691,0.09055118110236221,True
18272,100483XUZ09C,Q2,B,448.5,50,0.10564635521331306,0.09612239457419691,0.09055118110236221,True
18272,100483XUZ09C,Q2,B,5000.0,75,0.1288956660700579,0.10831697859406358,0.12044817927170871,True
18272,100483XUZ09C,Q2,B,38724.400000000074,90,0.1288956660700579,0.10831697859406358,0.12044817927170871,True
19102,100483XUZ09C,Q2,B,43.1,10,0.15493985143081662,0.12357153648596914,0.15868794326241134,True
19102,100483XUZ09C,Q2,B,100.0,25,0.15493985143081662,0.12357153648596914,0.15868794326241134,True
19102,100483XUZ09C,Q2,B,448.5,50,0.15493985143081662,0.12357153648596914,0.15868794326241134,True
19102,100483XUZ09C,Q2,B,5000.0,75,0.19237457754539908,0.1486980685249679,0.15868794326241134,True
19102,100483XUZ09C,Q2,B,38724.400000000074,90,0.19237457754539908,0.1486980685249679,0.15868794326241134,True
28359,100483XUZ09C,Q2,B,43.1,10,0.14072733558171296,0.11503079943354143,0.125,True
28359,100483XUZ09C,Q2,B,100.0,25,0.14072733558171296,0.11503079943354143,0.125,True
28359,100483XUZ09C,Q2,B,448.5,50,0.14072733558171296,0.11503079943354143,0.125,True
28359,100483XUZ09C,Q2,B,5000.0,75,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
28359,100483XUZ09C,Q2,B,38724.400000000074,90,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
14463,100483XUZ09C,Q2,B,43.1,10,0.0935928114646965,0.09029510742335412,0.06351351351351352,True
14463,100483XUZ09C,Q2,B,100.0,25,0.0935928114646965,0.09029510742335412,0.06351351351351352,True
14463,100483XUZ09C,Q2,B,448.5,50,0.0935928114646965,0.09029510742335412,0.06351351351351352,True
14463,100483XUZ09C,Q2,B,5000.0,75,0.11034806064079197,0.09848517635720452,0.11627906976744186,True
14463,100483XUZ09C,Q2,B,38724.400000000074,90,0.11034806064079197,0.09848517635720452,0.11627906976744186,True
14230,100483XUZ09C,Q2,B,43.1,10,0.0868360969967589,0.08716947143579602,0.06351351351351352,True
14230,100483XUZ09C,Q2,B,100.0,25,0.0868360969967589,0.08716947143579602,0.06351351351351352,True
14230,100483XUZ09C,Q2,B,448.5,50,0.0868360969967589,0.08716947143579602,0.06351351351351352,True
14230,100483XUZ09C,Q2,B,5000.0,75,0.09590667456871113,0.0913884952021806,0.06351351351351352,True
14230,100483XUZ09C,Q2,B,38724.400000000074,90,0.09590667456871113,0.0913884952021806,0.06351351351351352,True
28385,100483XUZ09C,Q2,B,43.1,10,0.14072733558171296,0.11503079943354143,0.125,True
28385,100483XUZ09C,Q2,B,100.0,25,0.14072733558171296,0.11503079943354143,0.125,True
